ï»¿Run_DateTime,Date,UTC_Date,TempA,TempM,DewPointA,DewPointM,Humidity,WindSpeedA,WindSpeedM,WindGustA,WindGustM,WindDir,VisibilityA,VisibilityM,PressureA,PressureM,WindChillA,WindChillM,HeatIndexA,HeatIndexM,PrecipA,PrecipM,Condition,Fog,Rain,Snow,Hail,Thunder,Tornado
13:26.1,51:00.0,51:00.0,32,0,12.9,-10.6,45,5.8,9.3,17.3,27.8,0,10,16.1,30.11,1019.5,26.4,-3.1,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12,-11.1,46,6.9,11.1,-9999,-9999,0,10,16.1,30.09,1018.9,24.3,-4.3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12,-11.1,46,10.4,16.7,-9999,-9999,220,10,16.1,30.07,1018.2,22.2,-5.4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12,-11.1,46,6.9,11.1,-9999,-9999,0,8,12.9,30.06,1017.7,24.3,-4.3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12.9,-10.6,47,8.1,13,-9999,-9999,240,10,16.1,30.05,1017.5,23.5,-4.7,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,15.1,-9.4,52,8.1,13,-9999,-9999,230,10,16.1,30.04,1017.1,23.5,-4.7,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,15.1,-9.4,50,6.9,11.1,-9999,-9999,0,10,16.1,30.02,1016.4,25.6,-3.6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,34,1.1,16,-8.9,48,10.4,16.7,-9999,-9999,250,10,16.1,30.01,1016.2,26,-3.3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,35.1,1.7,17.1,-8.3,48,5.8,9.3,-9999,-9999,250,10,16.1,29.98,1015.2,30.1,-1.1,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,35.1,1.7,18,-7.8,50,5.8,9.3,-9999,-9999,0,10,16.1,29.95,1014,30.1,-1.1,-9999,-9999,-9999,-9999,Scattered Clouds,0,0,0,0,0,0
